53.1	1.92E+00	1.62E+00	9.98E-01	1.05E+00	1.08E+00	7.12E-01
45.4	1.80E+00	1.55E+00	1.50E+00	1.79E+00	1.04E+00	1.04E+00
42.1	1.68E+00	2.04E+00	1.34E+00	9.50E-01	8.28E-01	1.16E+00
43.5	1.57E+00	1.03E+00	1.47E+00	1.34E+00	1.55E+00	8.89E-01
44.4	1.46E+00	1.28E+00	1.51E+00	9.26E-01	8.66E-01	1.17E+00
44.4	1.36E+00	1.66E+00	9.74E-01	6.34E-01	8.42E-01	1.08E+00
43.9	1.27E+00	1.63E+00	2.41E+00	2.26E+00	1.74E+00	2.08E+00
41	1.19E+00	1.03E+00	7.11E-01	7.20E-01	6.73E-01	8.68E-01
42	1.10E+00	9.01E-01	1.16E+00	1.66E+00	2.49E+00	3.46E+00
38.7	1.03E+00	9.45E-01	6.37E-01	8.86E-01	8.21E-01	9.91E-01
38.7	9.55E-01	1.14E+00	1.46E+00	2.13E+00	2.97E+00	4.00E+00
35	8.88E-01	5.70E-01	6.32E-01	3.71E-01	3.12E-01	2.85E-01
38.7	8.26E-01	6.45E-01	6.93E-01	3.53E-01	5.22E-01	5.53E-01
31.3	7.67E-01	9.19E-01	9.85E-01	1.01E+00	5.65E-01	6.47E-01
33.5	7.13E-01	7.09E-01	5.82E-01	8.59E-01	1.00E+00	1.19E+00
32	6.62E-01	5.10E-01	6.52E-01	8.76E-01	1.13E+00	7.68E-01
38.6	6.14E-01	4.66E-01	6.93E-01	6.37E-01	5.79E-01	5.49E-01
41	5.70E-01	3.98E-01	5.68E-01	4.86E-01	4.38E-01	3.89E-01
44.3	5.28E-01	7.05E-01	7.12E-01	1.01E+00	1.02E+00	1.44E+00
35.9	4.89E-01	3.23E-01	2.80E-01	3.62E-01	3.59E-01	3.02E-01
29.8	4.54E-01	4.08E-01	4.42E-01	4.07E-01	3.07E-01	2.30E-01
33.4	4.20E-01	3.22E-01	4.63E-01	3.25E-01	1.72E-01	1.56E-01
40.9	3.89E-01	3.66E-01	3.15E-01	3.26E-01	4.31E-01	4.02E-01
39.4	3.60E-01	3.33E-01	4.12E-01	4.41E-01	6.18E-01	3.28E-01
31.2	3.34E-01	2.49E-01	2.20E-01	1.88E-01	1.09E-01	1.08E-01
29.7	3.10E-01	2.35E-01	2.54E-01	2.07E-01	2.88E-01	2.48E-01
29.7	2.89E-01	1.62E-01	1.60E-01	1.71E-01	1.32E-01	1.70E-01
29.7	2.69E-01	3.65E-01	2.55E-01	3.59E-01	3.36E-01	3.72E-01
33.4	2.52E-01	1.49E-01	1.60E-01	1.68E-01	1.50E-01	2.18E-01
31.2	2.36E-01	1.25E-01	1.08E-01	6.03E-02	8.67E-02	1.26E-01
29.7	2.22E-01	2.05E-01	1.88E-01	2.79E-01	3.83E-01	2.52E-01
29.7	2.11E-01	2.11E-01	2.74E-01	4.02E-01	3.52E-01	3.64E-01
29.7	2.01E-01	2.68E-01	3.66E-01	3.61E-01	3.77E-01	2.93E-01
29.7	1.92E-01	1.18E-01	1.45E-01	1.50E-01	1.63E-01	2.04E-01
29.7	1.84E-01	2.18E-01	1.16E-01	8.63E-02	4.88E-02	7.03E-02
33.3	1.77E-01	2.55E-01	2.45E-01	3.38E-01	2.07E-01	1.89E-01
29.7	1.70E-01	1.22E-01	1.39E-01	1.35E-01	1.41E-01	1.23E-01
29.7	1.64E-01	2.23E-01	2.91E-01	1.97E-01	2.75E-01	2.15E-01
37	1.58E-01	1.85E-01	2.69E-01	1.65E-01	1.76E-01	2.49E-01
39	1.52E-01	9.22E-02	1.10E-01	7.68E-02	7.16E-02	6.90E-02
30.3	1.46E-01	1.63E-01	8.60E-02	1.12E-01	1.10E-01	7.43E-02
29.7	1.41E-01	1.97E-01	2.77E-01	2.72E-01	3.99E-01	5.45E-01
29.6	1.35E-01	7.48E-02	8.05E-02	9.46E-02	1.40E-01	1.46E-01
15.4	1.29E-01	1.43E-01	1.19E-01	1.76E-01	2.62E-01	2.14E-01
0	1.24E-01	7.16E-02	8.77E-02	5.15E-02	6.38E-02	6.00E-02
0	1.20E-01	6.82E-02	8.94E-02	1.29E-01	1.09E-01	1.43E-01
40.1	3.95E-01	5.81E-01	7.12E-01	8.34E-01	1.05E+00	6.60E-01
33.6	1.02E+00	8.96E-01	1.26E+00	9.47E-01	4.89E-01	4.08E-01
23	1.43E+00	1.47E+00	1.87E+00	1.23E+00	8.53E-01	9.14E-01
15.7	1.69E+00	1.71E+00	2.00E+00	2.18E+00	1.60E+00	2.25E+00
0	1.87E+00	2.10E+00	2.46E+00	3.30E+00	4.58E+00	4.75E+00
0	2.04E+00	1.54E+00	1.41E+00	1.94E+00	1.86E+00	1.80E+00
0	2.21E+00	1.85E+00	1.42E+00	1.86E+00	2.51E+00	1.94E+00
0	2.37E+00	3.09E+00	4.03E+00	2.69E+00	1.73E+00	1.93E+00
