52	19.8	1.71E+00	1.47E+00	1.92E+00	1.45E+00	1.81E+00
53	16.4	1.73E+00	2.55E+00	3.64E+00	3.75E+00	5.12E+00
54	16	1.73E+00	1.03E+00	1.53E+00	1.66E+00	1.36E+00
55	6.29	1.95E+00	1.32E+00	1.64E+00	1.79E+00	1.95E+00
56	0	2.08E+00	1.35E+00	1.70E+00	1.56E+00	8.72E-01
57	0	2.21E+00	2.54E+00	2.22E+00	2.44E+00	2.70E+00
58	0	2.56E+00	3.19E+00	1.93E+00	2.03E+00	1.12E+00
59	0	3.02E+00	1.78E+00	1.69E+00	2.46E+00	3.43E+00
60	0	3.31E+00	1.90E+00	1.40E+00	1.35E+00	1.87E+00
61	0	3.50E+00	3.05E+00	4.18E+00	4.87E+00	3.17E+00
62	29.7	3.64E+00	2.64E+00	2.81E+00	1.53E+00	1.91E+00
63	91.3	3.78E+00	4.72E+00	5.39E+00	5.00E+00	4.93E+00
64	145	3.91E+00	4.75E+00	6.77E+00	4.33E+00	6.20E+00
65	98.5	4.02E+00	4.59E+00	6.30E+00	6.79E+00	6.88E+00
66	96.3	4.12E+00	5.68E+00	5.59E+00	4.50E+00	2.87E+00
67	99.8	4.20E+00	2.52E+00	3.77E+00	4.25E+00	5.05E+00
68	101	4.25E+00	6.17E+00	5.48E+00	7.54E+00	7.03E+00
69	102	4.27E+00	3.82E+00	5.34E+00	4.07E+00	3.50E+00
70	105	4.26E+00	3.99E+00	4.74E+00	3.15E+00	2.91E+00
71	90	4.24E+00	2.77E+00	2.51E+00	2.98E+00	4.32E+00
72	103	4.19E+00	2.39E+00	2.07E+00	2.23E+00	1.87E+00
73	95.3	4.13E+00	2.36E+00	1.28E+00	6.42E-01	9.34E-01
74	107	4.05E+00	5.00E+00	3.13E+00	2.20E+00	1.23E+00
75	107	3.96E+00	2.65E+00	2.28E+00	2.26E+00	2.76E+00
76	106	3.87E+00	4.53E+00	2.55E+00	1.43E+00	1.06E+00
77	102	3.98E+00	2.75E+00	2.07E+00	2.68E+00	3.50E+00
78	95.8	4.18E+00	4.42E+00	5.81E+00	3.33E+00	2.07E+00
79	94.4	4.43E+00	2.42E+00	2.90E+00	3.08E+00	4.08E+00
80	99.2	4.72E+00	5.85E+00	8.25E+00	8.70E+00	9.49E+00
81	105	5.03E+00	7.45E+00	1.01E+01	1.18E+01	1.49E+01
82	91.8	5.35E+00	3.52E+00	4.28E+00	5.17E+00	5.39E+00
83	99	5.68E+00	8.16E+00	7.20E+00	1.05E+01	9.80E+00
84	85.3	6.00E+00	8.85E+00	6.41E+00	7.98E+00	4.41E+00
85	78.3	6.29E+00	4.36E+00	4.76E+00	2.61E+00	2.01E+00
86	80	6.55E+00	5.72E+00	6.09E+00	6.86E+00	7.30E+00
87	88.6	5.28E+01	4.10E+01	3.12E+01	2.66E+01	2.13E+01
88	104	5.82E+01	8.55E+01	5.13E+01	5.06E+01	6.58E+01
89	80.3	4.87E+01	6.21E+01	6.54E+01	4.64E+01	2.79E+01
90	57	4.12E+01	6.09E+01	7.98E+01	6.70E+01	9.89E+01
91	3.28	3.72E+01	3.74E+01	5.34E+01	2.68E+01	2.16E+01
92	24.2	3.54E+01	2.57E+01	1.66E+01	2.31E+01	3.08E+01
93	24.7	3.52E+01	4.89E+01	4.42E+01	4.81E+01	6.81E+01
94	24.7	3.58E+01	2.28E+01	1.19E+01	1.55E+01	1.45E+01
95	24.2	3.65E+01	3.64E+01	2.30E+01	3.05E+01	2.89E+01
96	23.7	3.72E+01	4.51E+01	6.02E+01	8.12E+01	8.41E+01
97	9.86	3.77E+01	3.53E+01	3.86E+01	4.17E+01	5.01E+01
98	0	3.75E+01	3.54E+01	4.59E+01	4.86E+01	5.99E+01
99	0	3.69E+01	5.41E+01	4.23E+01	3.16E+01	3.08E+01
100	0	3.79E+01	4.82E+01	2.62E+01	2.50E+01	2.85E+01
101	0	3.85E+01	2.62E+01	2.41E+01	2.70E+01	2.61E+01
102	0	3.87E+01	5.77E+01	3.01E+01	2.14E+01	2.76E+01
103	0	3.70E+01	2.90E+01	3.00E+01	1.98E+01	1.87E+01
104	0	3.56E+01	2.29E+01	2.74E+01	3.75E+01	4.94E+01
105	14.8	3.47E+01	2.71E+01	3.88E+01	2.91E+01	4.29E+01
106	17.5	3.60E+01	2.27E+01	3.35E+01	2.54E+01	2.15E+01
107	0	3.47E+01	5.12E+01	6.04E+01	3.26E+01	2.65E+01
108	27.8	3.72E+01	2.38E+01	3.40E+01	2.66E+01	2.52E+01
109	50.3	3.54E+01	2.34E+01	2.62E+01	1.98E+01	2.77E+01
110	49.1	7.09E+01	9.13E+01	1.12E+02	1.41E+02	1.43E+02
111	50.3	1.18E+02	1.57E+02	2.34E+02	1.40E+02	1.20E+02
112	92.9	1.14E+02	1.41E+02	1.14E+02	9.98E+01	1.07E+02
113	92.8	9.40E+01	4.75E+01	3.57E+01	2.56E+01	2.98E+01
114	51.3	8.94E+01	6.55E+01	5.15E+01	2.67E+01	1.80E+01
115	40.6	9.13E+01	1.03E+02	6.23E+01	7.06E+01	5.38E+01
116	43.6	8.22E+01	9.93E+01	5.44E+01	7.31E+01	1.05E+02
117	44	7.38E+01	8.61E+01	7.88E+01	8.69E+01	7.62E+01
118	40.7	6.83E+01	7.48E+01	8.26E+01	1.03E+02	8.41E+01
119	14.6	6.42E+01	7.18E+01	9.97E+01	7.60E+01	5.83E+01
120	54.6	6.01E+01	6.40E+01	3.30E+01	4.82E+01	3.62E+01
121	61.3	5.57E+01	7.48E+01	3.81E+01	2.98E+01	1.61E+01
122	62.1	5.21E+01	4.37E+01	2.63E+01	2.95E+01	3.55E+01
123	64.4	5.30E+01	4.45E+01	4.33E+01	5.68E+01	2.97E+01
124	64	4.97E+01	6.06E+01	7.98E+01	8.33E+01	8.21E+01
125	19.7	4.55E+01	4.00E+01	4.57E+01	3.10E+01	4.07E+01
126	0	4.14E+01	6.13E+01	4.41E+01	6.60E+01	6.91E+01
127	9.72	3.84E+01	4.92E+01	4.55E+01	3.21E+01	3.66E+01
128	47.9	3.83E+01	5.66E+01	4.13E+01	5.50E+01	3.03E+01
129	90	4.89E+01	6.18E+01	6.15E+01	7.79E+01	4.49E+01
130	41.4	5.17E+01	4.43E+01	5.18E+01	3.12E+01	2.62E+01
131	6.82	4.89E+01	7.28E+01	7.37E+01	1.10E+02	1.14E+02
132	37.3	4.56E+01	5.10E+01	6.61E+01	9.43E+01	1.07E+02
